iter	Passed	Remaining
0	79	39796
1	142	35536
2	207	34361
3	269	33439
4	331	32857
5	394	32463
6	453	31934
7	513	31549
8	574	31361
9	644	31582
10	706	31420
11	766	31185
12	830	31106
13	888	30831
14	946	30607
15	1014	30679
16	1074	30539
17	1149	30781
18	1209	30622
19	1269	30459
20	1329	30336
21	1389	30198
22	1450	30072
23	1511	29987
24	1574	29914
25	1633	29778
26	1692	29651
27	1753	29560
28	1818	29534
29	1877	29414
30	1934	29269
31	1993	29150
32	2049	29009
33	2108	28903
34	2167	28796
35	2224	28675
36	2284	28589
37	2341	28469
38	2397	28344
39	2457	28266
40	2516	28174
41	2573	28068
42	2631	27965
43	2689	27876
44	2749	27795
45	2803	27672
46	2865	27616
47	2922	27515
48	2981	27443
49	3040	27366
50	3100	27295
51	3160	27230
52	3215	27115
53	3272	27032
54	3327	26920
55	3390	26884
56	3451	26821
57	3509	26748
58	3566	26656
59	3620	26552
60	3676	26459
61	3734	26381
62	3797	26340
63	3854	26260
64	3910	26171
65	3964	26068
66	4027	26025
67	4084	25950
68	4141	25867
69	4194	25767
70	4253	25701
71	4313	25643
72	4370	25566
73	4425	25478
74	4488	25437
75	4542	25341
76	4597	25258
77	4651	25167
78	4713	25120
79	4775	25071
80	4834	25007
81	4888	24917
82	4944	24840
83	5001	24768
84	5056	24686
85	5114	24622
86	5175	24566
87	5231	24492
88	5291	24437
89	5350	24374
90	5409	24311
91	5467	24245
92	5522	24167
93	5575	24082
94	5636	24028
95	5691	23950
96	5747	23877
97	5804	23810
98	5857	23725
99	5915	23663
100	5974	23603
101	6030	23530
102	6092	23481
103	6153	23428
104	6208	23356
105	6261	23273
106	6319	23210
107	6373	23131
108	6431	23072
109	6488	23004
110	6546	22943
111	6603	22875
112	6664	22823
113	6721	22758
114	6784	22713
115	6837	22633
116	6890	22556
117	6948	22493
118	7005	22429
119	7064	22370
120	7122	22310
121	7184	22259
122	7239	22189
123	7296	22123
124	7352	22058
125	7412	22002
126	7473	21950
127	7530	21886
128	7585	21815
129	7642	21752
130	7701	21693
131	7758	21630
132	7812	21557
133	7871	21500
134	7927	21433
135	7987	21379
136	8043	21312
137	8094	21232
138	8152	21173
139	8211	21115
140	8266	21048
141	8322	20982
142	8384	20931
143	8444	20875
144	8503	20818
145	8559	20754
146	8618	20697
147	8677	20639
148	8737	20583
149	8795	20521
150	8851	20458
151	8909	20398
152	8965	20334
153	9021	20269
154	9078	20206
155	9141	20158
156	9197	20093
157	9254	20030
158	9318	19984
159	9372	19917
160	9435	19866
161	9490	19801
162	9546	19736
163	9607	19684
164	9663	19619
165	9723	19563
